1729;649
1763;613
1508;663
1514;723
1523;713
1493;703
1578;727
1529;753
1651;758
1839;758
2208;771
2248;774
2344;773
2590;780
2514;777
2340;755
2053;741
1855;694
1751;651
1739;632
1721;603
1745;592
1601;530
1549;460
1468;434
1406;391
1343;308
1227;235
1206;192
1106;173
1096;185
1160;204
1120;202
1043;213
977;214
842;242
757;254
804;289
787;293
771;289
854;233
939;272
1000;311
1153;301
1236;313
1326;331
1529;416
1795;444
1970;439
2267;532
2543;574
2411;601
2601;667
2718;828
3077;832
2942;828
2765;831
2446;772
1972;689
1691;625
1352;540
980;441
750;373
465;319
289;384
262;326
280;138
306;128
398;232
559;179
720;181
856;119
859;132
903;175
975;382
1024;545
1093;578
1081;535
999;520
849;511
769;518
707;529
647;468
619;401
602;317
532;297
411;241
279;214
178;182
108;123
96;124
99;116
113;110
103;127
98;150
107;173
143;135
177;97
232;154
223;419
195;475
178;482
122;469
97;470
89;461
75;428
56;376
52;213
53;198
57;279
71;219
81;171
57;159
73;168
96;134
126;112
95;80
94;67
113;71
69;69
38;67
49;67
62;79
58;80
74;65
80;64
94;75
123;104
134;137
161;201
270;211
480;139
518;122
550;162
637;183
667;163
737;172
849;201
919;257
828;324
716;365
616;319
532;330
441;310
330;267
231;223
130;209
109;223
121;206
150;159
192;117
279;93
374;87
475;91
480;106
408;81
401;68
447;63
459;66
486;72
596;79
640;80
714;77
772;84
829;78
807;82
741;78
794;83
772;84
748;87
670;84
518;82
419;80
391;78
274;81
232;78
215;76
174;71
132;71
111;73
101;72
95;73
105;77
143;95
223;119
355;159
503;195
706;229
906;296
1147;355
1285;355
1326;349
1481;343
1644;392
1812;407
1961;432
1991;425
2126;453
2386;472
2638;482
2736;474
2535;584
2652;742
2705;747
2858;746
3022;745
3005;733
2996;729
3020;709
3029;696
2948;676
2775;642
2452;625
2234;572
2032;484
1959;464
1914;462
1858;366
1740;263
1569;211
1414;128
1264;148
1210;136
1126;118
992;95
923;72
847;82
816;79
769;51
720;92
639;99
719;89
834;95
964;107
823;96
611;66
656;71
620;81
583;60
560;45
524;37
459;37
426;44
436;68
413;68
376;68
332;44
277;40
227;34
183;35
172;49
173;87
212;125
255;186
294;204
360;180
439;189
443;221
424;213
454;271
488;233
552;272
621;291
694;324
689;284
736;296
740;307
726;339
755;381
848;411
992;395
1044;365
1082;376
1089;378
1050;376
1079;458
1127;416
1175;250
1266;210
1336;231
1372;302
1411;310
1387;283
1300;396
1238;377
1288;347
1268;326
1274;304
1281;288
1189;279
1184;275
1203;330
1258;344
1328;362
1377;420
1500;394
1555;411
1681;400
1782;412
1821;419
1827;385
1802;342
1716;380
1733;411
1688;392
1687;409
1761;460
1814;498
1850;525
1812;510
1870;451
1849;378
1734;382
1565;378
1396;376
1240;378
1159;419
1175;444
1322;475
1501;467
1523;478
1489;516
1510;539
1591;512
1604;406
1529;361
1447;363
1315;427
1444;465
2034;463
2445;537
2618;555
2779;564
2843;582
2773;611
2726;628
2643;638
2521;645
2591;676
2758;679
2893;682
3002;694
3049;729
2745;748
2827;766
2817;769
2901;773
2964;785
3023;790
3056;776
3132;779
3173;787
3196;787
3212;797
3265;804
3344;816
3360;823
3357;828
3298;831
2826;834
2572;840
2380;838
2507;836
2356;828
2162;783
1943;703
1987;643
1690;590
1542;624
1208;592
1163;510
1108;550
1112;490
895;468
919;470
818;433
663;362
589;423
674;414
856;440
841;437
693;456
665;514
665;494
711;471
750;512
503;492
454;438
457;463
409;441
359;353
370;281
339;314
418;262
580;269
546;305
512;293
639;371
658;384
683;400
796;484
854;459
790;460
708;457
721;461
589;483
708;455
600;487
546;432
646;488
658;554
643;580
616;534
516;562
473;521
404;444
381;412
288;365
200;392
160;368
132;318
121;415
123;496
122;509
93;407
71;375
58;215
59;145
71;117
76;104
111;101
54;75
32;79
45;70
37;46
31;29
39;20
51;25
51;47
121;62
90;53
84;58
103;71
114;89
155;64
160;60
211;84
238;137
263;161
293;151
314;152
463;151
419;193
403;236
297;243
298;263
313;210
383;179
449;193
468;180
471;186
488;173
489;158
506;143
529;113
550;120
526;161
511;137
535;119
496;112
463;76
402;54
392;47
396;43
404;34
336;41
367;55
323;38
241;38
192;34
157;30
144;22
123;15
121;9
85;5
60;5
57;6
51;9
41;4
25;4
24;4
31;4
37;4
31;4
33;4
46;4
99;4
210;4
310;4
432;13
554;31
726;62
809;113
911;109
1081;112
1090;162
1028;231
1139;288
1243;277
1299;322
1309;363
1338;452
1408;493
1378;486
1317;457
1286;454
1168;430
1096;375
915;361
822;301
729;306
631;300
504;310
536;307
570;218
451;204
412;166
361;102
391;67
400;35
442;31
521;23
631;21
717;30
783;60
830;83
1015;123
1241;141
1480;188
1666;225
1838;274
1904;277
2080;332
2285;384
2371;453
2730;535
2855;616
3208;731
3273;792
3324;834
3290;852
3017;863
3259;862
3013;822
2780;815
2573;771
2710;767
2425;710
2222;641
2364;559
2585;619
2831;666
3133;712
3325;766
3457;801
3518;825
3512;823
3517;850
3429;880
3273;906
3112;918
3072;921
3129;882
3222;813
3164;693
3298;545
3303;529
3273;555
3225;527
3085;580
2909;546
2770;633
2620;661
2433;609
2292;615
2161;540
2160;535
2189;572
2244;530
2258;501
2144;420
1955;408
1761;343
1516;357
1317;368
1238;320
1235;355
1229;304
1238;250
1095;190
974;163
840;134
654;88
546;68
496;48
471;32
443;34
433;11
437;9
459;12
446;10
423;8
454;9
435;7
400;10
423;19
443;13
390;10
443;20
529;16
621;23
633;37
565;62
590;101
571;143
467;191
447;189
466;180
380;230
263;209
242;197
316;174
390;211
573;219
727;231
973;229
1313;239
1615;356
1991;351
2287;401
2664;420
2894;522
3200;538
3365;691
3563;750
3576;813
3543;893
3320;892
2638;886
2362;707
2273;676
2403;655
2363;809
2931;793
2676;793
3109;805
3141;803
3155;811
3152;820
3130;828
3108;834
3142;839
3064;835
2879;815
2785;811
2519;788
2286;689
1951;503
1740;427
1580;420
1549;411
1432;469
1418;501
1650;598
1870;686
2112;753
2465;802
2644;836
2956;872
3273;917
3324;917
3374;904
3418;916
3359;926
3210;918
3091;885
3093;852
3108;814
3100;775
3096;767
3119;778
3119;787
3129;809
3035;828
3152;845
3020;860
3128;880
3112;889
3113;889
3001;882
3081;853
2973;837
3048;831
3034;822
2933;793
2714;791
2693;748
2513;725
2342;695
