,29.581,36.922,27.482,6.3186,15.458,37.144,33.338,43.351,0.21452,14.211,36.387,41.217,9.4607
,29.281,36.386,27.311,6.2879,15.274,36.973,32.499,43.41,0.21298,13.781,35.964,41.206,9.6503
,29.719,36.875,27.679,6.54,15.587,37.254,32.892,44.424,0.21404,13.818,36.224,42.049,10.069
,31.769,38.946,29.264,7.4774,16.632,38.999,35.117,47.942,0.21306,14.906,39.008,44.366,11.118
,38.376,45.486,33.374,9.2651,19.949,46.35,42.171,56.393,0.2144,18.284,47.505,52.412,13.056
,48.239,57.163,39.98,11.938,23.602,53.831,50.951,69.783,0.21661,21.464,60.459,65.504,15.979
,54.127,67.578,46.201,14.958,25.883,55.479,55.414,81.863,1.5126,19.843,68.78,75.253,19.358
,55.012,68.982,48.298,17.132,21.737,53.453,54.176,82.514,4.1299,10.613,67.756,76.632,21.71
,54.831,68.545,48.391,17.704,23.356,51.967,53.651,81.152,1.4592,14.426,67.143,75.485,22.791
,53.212,67.764,47.89,17.422,23.676,49.913,52.279,79.586,1.1802,16.468,65.591,74.124,22.765
,51.754,66.108,47.051,16.664,21.947,49.221,49.02,78.306,2.2111,14.758,62.35,71.033,21.837
,50.086,65.267,46.628,16.506,22.471,48.802,47.454,77.564,1.8898,15.744,60.873,70.441,21.373
,48.768,63.94,45.833,15.889,23.032,47.31,45.732,75.691,0.53868,17.547,59.259,67.655,21.402
,48.384,62.537,44.81,15.356,22.801,46.794,45.652,73.811,0.37891,17.546,57.681,65.541,20.51
,49.315,62.002,44.517,14.086,23.097,48.201,47.537,72.923,0.20874,18.849,59.008,66.29,19.735
,53.714,64.986,45.786,11.995,24.883,54.982,55.148,75.304,0.18944,22.964,65.749,70.536,17.883
,56.655,68.04,45.182,9.4032,27.177,62.481,63.836,76.316,0.21756,27.018,72.225,74.389,14.9
,54.986,65.758,42.439,8.2751,26.829,63.226,64.249,72.619,0.21806,26.887,71.069,71.632,12.719
,51.818,62.135,40.928,7.5284,25.163,59.624,60.446,67.765,0.21723,24.918,66.388,66.501,11.799
,47.362,57.548,38.336,7.1711,23.346,53.698,54.714,62.802,0.21745,22.602,59.964,60.886,11.218
,42.24,52.089,35.392,6.868,22.347,46.426,48.978,56.31,0.21773,20.756,53.63,55.112,10.886
,37.123,45.895,32.679,6.5323,20.314,40.859,43.8,50.253,0.21715,19.354,47.753,48.478,10.325
,30.997,39.048,29.438,6.5306,17.341,34.189,35.296,44.528,0.21871,15.393,38.745,41.109,9.9556
,27.346,35.136,27.831,6.2278,15.445,29.981,30.139,41.323,0.217,12.91,33.38,36.888,9.7011
,25.495,33.307,26.718,6.2515,14.539,28.05,27.637,39.807,0.21829,11.738,30.841,34.926,9.4964
